,time_ilp,time_sat,list,num_of_operations
0,0.09257102012634277,0.26601481437683105,"['4', '5', '1', '2', '3']",2
1,0.07074475288391113,0.2334389686584473,"['3', '2', '1', '5', '4']",2
2,0.06298375129699707,0.3282980918884277,"['5', '1', '4', '2', '3']",3
3,0.07917308807373047,0.30747175216674805,"['4', '3', '5', '1', '2']",2
4,0.07402825355529785,0.3351049423217773,"['2', '5', '4', '3', '1']",2
5,0.08383798599243164,0.2796280384063721,"['3', '2', '1', '5', '4']",2
6,0.08468818664550781,0.3688082695007324,"['2', '4', '3', '1', '5']",2
7,0.06680488586425781,0.3218648433685303,"['3', '4', '1', '5', '2']",3
8,0.06420707702636719,0.3577401638031006,"['2', '5', '4', '3', '1']",2
9,0.06190013885498047,0.3155169486999512,"['3', '1', '4', '2', '5']",3
